gene,signLogP
TRINITY_DN173970_c0_g1,25.6639087592226
TRINITY_DN2119_c0_g1,6.56311647969453
TRINITY_DN22073_c0_g1,5.91269144504267
TRINITY_DN226644_c0_g1,19.1972095334514
TRINITY_DN233011_c0_g1,26.3335579685153
TRINITY_DN251134_c0_g1,23.3896943633578
TRINITY_DN251134_c1_g1,6.64448680804794
TRINITY_DN251191_c0_g1,7.32701560505777
TRINITY_DN251191_c0_g2,18.2809188015772
TRINITY_DN255273_c0_g1,26.2598403926187
TRINITY_DN255903_c0_g1,13.955922711681
TRINITY_DN256449_c0_g1,13.5006998181242
TRINITY_DN271642_c0_g1,26.1888191228704
TRINITY_DN271666_c1_g1,16.6645484523675
TRINITY_DN274712_c0_g1,23.3378256949613
TRINITY_DN274805_c0_g2,25.514765601126
TRINITY_DN274840_c0_g1,22.1216327793006
TRINITY_DN276416_c0_g1,20.874088726681
TRINITY_DN277082_c0_g1,26.0175911822249
TRINITY_DN277202_c0_g1,13.3392763789679
TRINITY_DN277209_c0_g1,5.60134620042777
TRINITY_DN277328_c0_g1,25.2701671148105
TRINITY_DN277371_c0_g1,23.7031247613441
TRINITY_DN278382_c0_g1,20.6463047958103
TRINITY_DN278906_c0_g1,23.9829636563349
TRINITY_DN278965_c0_g1,6.28625019028233
TRINITY_DN278968_c0_g1,17.995413008548
TRINITY_DN292324_c0_g1,23.9223390345184
TRINITY_DN292353_c0_g1,24.3095887027353
TRINITY_DN293386_c0_g1,8.64302856026345
TRINITY_DN293894_c0_g2,26.7268029652887
TRINITY_DN294657_c0_g1,21.8020754983183
TRINITY_DN294754_c0_g1,20.9414218467496
TRINITY_DN294773_c0_g2,26.8068456729622
TRINITY_DN294773_c0_g3,21.4325423994362
TRINITY_DN295087_c0_g1,6.01962660125646
TRINITY_DN295214_c0_g1,6.87490190979116
TRINITY_DN295214_c0_g2,6.40300245740958
TRINITY_DN295219_c1_g1,26.2777666088869
TRINITY_DN295224_c1_g1,23.92479302348
TRINITY_DN295269_c0_g2,11.6272146113724
TRINITY_DN296373_c0_g2,9.26163366636373
TRINITY_DN296708_c0_g1,29.8474285126815
TRINITY_DN296759_c4_g1,8.021908707994
TRINITY_DN298834_c0_g6,8.12985132156776
TRINITY_DN299755_c1_g3,13.0225180424346
TRINITY_DN299789_c0_g2,21.9820468777673
TRINITY_DN310763_c1_g1,5.81326681493591
TRINITY_DN311418_c0_g1,25.6281906766206
TRINITY_DN311461_c0_g1,25.1544827158111
TRINITY_DN311484_c1_g5,12.5917351263422
TRINITY_DN311489_c3_g5,11.7691088703626
TRINITY_DN311493_c0_g1,7.39729082017076
TRINITY_DN311716_c0_g1,22.7257463374901
TRINITY_DN311716_c0_g2,23.455096566714
TRINITY_DN311731_c0_g1,11.0491914487381
TRINITY_DN311753_c2_g6,12.9400418206104
TRINITY_DN312002_c0_g1,25.5416292433955
TRINITY_DN312005_c1_g1,7.09368855017146
TRINITY_DN312093_c0_g3,25.5416292433955
TRINITY_DN312701_c0_g2,18.1660385255788
TRINITY_DN312701_c0_g3,23.1005744761364
TRINITY_DN312702_c0_g1,8.41842083006694
TRINITY_DN312726_c1_g4,25.3651000073061
TRINITY_DN312737_c1_g1,27.3017173687859
TRINITY_DN312737_c2_g2,14.2055945640341
TRINITY_DN314271_c0_g1,21.8168905841035
TRINITY_DN314271_c1_g1,12.6808878317731
TRINITY_DN314831_c1_g5,6.79897531630269
TRINITY_DN316234_c0_g1,8.34009357860343
TRINITY_DN316900_c0_g1,15.0161555721975
TRINITY_DN317297_c1_g3,13.2967167645491
TRINITY_DN317297_c2_g1,26.7107383627849
TRINITY_DN384783_c0_g1,8.1634144373896
TRINITY_DN449830_c0_g1,6.90857161209136
TRINITY_DN52678_c0_g1,6.15988319873295
TRINITY_DN54630_c0_g1,5.82103137798666
TRINITY_DN54639_c0_g1,5.68332800103448
TRINITY_DN66609_c0_g1,6.36127741688702
TRINITY_DN227396_c0_g1,-5.99914194303594
TRINITY_DN259150_c0_g1,-5.77410376381361
TRINITY_DN292370_c1_g7,-7.13731688199938
TRINITY_DN294779_c0_g2,-11.6160662238897
TRINITY_DN294779_c1_g3,-6.96397331158974
TRINITY_DN296218_c0_g2,-6.3900185917259
TRINITY_DN298167_c1_g1,-9.6153056050427
TRINITY_DN310761_c3_g1,-12.0507797611241
TRINITY_DN310761_c3_g3,-12.2283182544775
TRINITY_DN310763_c3_g1,-8.31801451755586
TRINITY_DN311486_c4_g1,-10.0335962378831
TRINITY_DN312006_c1_g5,-6.92650088512207
TRINITY_DN312722_c5_g1,-7.66948969902311
TRINITY_DN314232_c4_g4,-6.60050001731779
TRINITY_DN314258_c2_g2,-6.52321763055697
TRINITY_DN314627_c5_g1,-6.14270380258052
TRINITY_DN314629_c1_g3,-8.53639130146979
TRINITY_DN314888_c2_g4,-10.5049675445702
TRINITY_DN316237_c1_g2,-8.21199419012318
TRINITY_DN316936_c6_g6,-6.56830035215008
TRINITY_DN317247_c5_g1,-7.7054988227943
